t0_3h,future_3h,realized_score
2,9999,2.500000
3,0,-0.027371
3,1,-0.022118
3,2,-0.012707
3,3,0.000000
3,4,0.015387
3,5,0.032993
3,6,0.052459
3,7,0.073498
3,8,0.095879
3,9,0.119406
3,10,0.143919
3,11,0.169278
3,12,0.195364
3,13,0.222074
3,14,0.249318
3,15,0.277016
3,16,0.305099
3,17,0.333505
3,19,0.391066
3,21,0.449323
3,22,0.478614
3,24,0.537359
3,26,0.596138
3,28,0.654763
3,31,0.742086
3,33,0.799714
3,36,0.885035
3,39,0.968790
3,42,1.050791
3,45,1.130899
3,49,1.234606
3,53,1.334641
3,57,1.430940
3,62,1.546053
3,67,1.655396
3,73,1.779202
3,78,1.876435
3,85,2.003956
3,92,2.122055
3,99,2.231432
3,107,2.346641
3,116,2.464949
3,125,2.500000
3,135,2.500000
3,146,2.500000
3,157,2.500000
3,170,2.500000
3,184,2.500000
3,199,2.500000
3,214,2.500000
3,232,2.500000
3,250,2.500000
3,270,2.500000
3,292,2.500000
3,315,2.500000
3,340,2.500000
3,368,2.500000
3,397,2.500000
3,429,2.500000
3,463,2.500000
3,500,2.500000
3,540,2.500000
3,583,2.500000
3,630,2.500000
3,680,2.500000
3,735,2.500000
3,793,2.500000
3,857,2.500000
3,925,2.500000
3,999,2.500000
3,1079,2.500000
3,1165,2.500000
3,1258,2.500000
3,1358,2.500000
3,1467,2.500000
3,1584,2.500000
3,1710,2.500000
3,1847,2.500000
3,1994,2.500000
3,2153,2.500000
3,2325,2.500000
3,2511,2.500000
3,2711,2.500000
3,2928,2.500000
3,3161,2.500000
3,3414,2.500000
3,3686,2.500000
3,3980,2.500000
3,4298,2.500000
3,4641,2.500000
3,5011,2.500000
3,5411,2.500000
3,5842,2.500000
3,6309,2.500000
3,6812,2.500000
3,7355,2.500000
3,7942,2.500000
3,8576,2.500000
3,9260,2.500000
3,9999,2.500000
4,0,-0.045191
4,1,-0.038585
4,2,-0.028419
4,3,-0.015387
4,4,0.000000
4,5,0.017356
4,6,0.036375
4,7,0.056812
4,8,0.078462
4,9,0.101157
4,10,0.124752
4,11,0.149124
4,12,0.174166
4,13,0.199786
4,14,0.225901
4,15,0.252439
4,16,0.279337
4,17,0.306538
4,19,0.361648
4,21,0.417421
4,22,0.445465
4,24,0.501716
4,26,0.558013
4,28,0.614181
4,31,0.697881
4,33,0.753145
4,36,0.835009
4,39,0.915422
4,42,0.994202
4,45,1.071216
4,49,1.170994
4,53,1.267326
4,57,1.360142
4,62,1.471202
4,67,1.576811
4,73,1.696532
4,78,1.790667
4,85,1.914281
4,92,2.028930
4,99,2.135265
4,107,2.247441
4,116,2.362829
4,125,2.467970
4,135,2.500000
4,146,2.500000
4,157,2.500000
4,170,2.500000
4,184,2.500000
4,199,2.500000
4,214,2.500000
4,232,2.500000
4,250,2.500000
4,270,2.500000
4,292,2.500000
4,315,2.500000
4,340,2.500000
4,368,2.500000
4,397,2.500000
4,429,2.500000
4,463,2.500000
4,500,2.500000
4,540,2.500000
4,583,2.500000
4,630,2.500000
4,680,2.500000
4,735,2.500000
4,793,2.500000
4,857,2.500000
4,925,2.500000
4,999,2.500000
4,1079,2.500000
4,1165,2.500000
4,1258,2.500000
4,1358,2.500000
4,1467,2.500000
4,1584,2.500000
4,1710,2.500000
4,1847,2.500000
4,1994,2.500000
4,2153,2.500000
4,2325,2.500000
4,2511,2.500000
4,2711,2.500000
4,2928,2.500000
4,3161,2.500000
4,3414,2.500000
4,3686,2.500000
4,3980,2.500000
4,4298,2.500000
4,4641,2.500000
4,5011,2.500000
4,5411,2.500000
4,5842,2.500000
4,6309,2.500000
4,6812,2.500000
4,7355,2.500000
4,7942,2.500000
4,8576,2.500000
4,9260,2.500000
4,9999,2.500000
5,0,-0.065962
5,1,-0.057764
5,2,-0.046597
5,3,-0.032993
5,4,-0.017356
5,5,0.000000
5,6,0.018822
5,7,0.038902
5,8,0.060068
5,9,0.082172
5,10,0.105089
5,11,0.128711
5,12,0.152943
5,13,0.177702
5,14,0.202915
5,15,0.228517
5,16,0.254450
5,17,0.280662
5,19,0.333743
5,21,0.387440
5,22,0.414436
5,24,0.468581
5,26,0.522771
5,28,0.576842
5,31,0.657436
5,33,0.710666
5,36,0.789544
5,39,0.867060
5,42,0.943042
5,45,1.017359
5,49,1.113705
5,53,1.206794
5,57,1.296554
5,62,1.404049
5,67,1.506366
5,73,1.622478
5,78,1.713873
5,85,1.834026
5,92,1.945612
5,99,2.049244
5,107,2.158719
5,116,2.271506
5,125,2.374441
5,135,2.478576
5,146,2.500000
5,157,2.500000
5,170,2.500000
5,184,2.500000
5,199,2.500000
5,214,2.500000
5,232,2.500000
5,250,2.500000
5,270,2.500000
5,292,2.500000
5,315,2.500000
5,340,2.500000
5,368,2.500000
5,397,2.500000
5,429,2.500000
5,463,2.500000
5,500,2.500000
5,540,2.500000
5,583,2.500000
5,630,2.500000
5,680,2.500000
5,735,2.500000
5,793,2.500000
5,857,2.500000
5,925,2.500000
5,999,2.500000
5,1079,2.500000
5,1165,2.500000
5,1258,2.500000
5,1358,2.500000
5,1467,2.500000
5,1584,2.500000
5,1710,2.500000
5,1847,2.500000
5,1994,2.500000
5,2153,2.500000
5,2325,2.500000
5,2511,2.500000
5,2711,2.500000
5,2928,2.500000
5,3161,2.500000
5,3414,2.500000
5,3686,2.500000
5,3980,2.500000
5,4298,2.500000
5,4641,2.500000
5,5011,2.500000
5,5411,2.500000
5,5842,2.500000
5,6309,2.500000
5,6812,2.500000
5,7355,2.500000
5,7942,2.500000
5,8576,2.500000
5,9260,2.500000
5,9999,2.500000
6,0,-0.089158
6,1,-0.079187
6,2,-0.066829
6,3,-0.052459
6,4,-0.036375
6,5,-0.018822
6,6,0.000000
6,7,0.019921
6,8,0.040797
6,9,0.062505
6,10,0.084936
6,11,0.107998
6,12,0.131607
6,13,0.155691
6,14,0.180185
6,15,0.205030
6,16,0.230176
6,17,0.255575
6,19,0.306968
6,21,0.358920
6,22,0.385029
6,24,0.437382
6,26,0.489769
6,28,0.542037
6,31,0.619946
6,33,0.671409
6,36,0.747685
6,39,0.822669
6,42,0.896195
6,45,0.968141
6,49,1.061461
6,53,1.151682
6,57,1.238733
6,62,1.343063
6,67,1.442452
6,73,1.555347
6,78,1.644294
6,85,1.761350
6,92,1.870193
6,99,1.971398
6,107,2.078447
6,116,2.188893
6,125,2.289842
6,135,2.392125
6,146,2.494087
6,157,2.500000
6,170,2.500000
6,184,2.500000
6,199,2.500000
6,214,2.500000
6,232,2.500000
6,250,2.500000
6,270,2.500000
6,292,2.500000
6,315,2.500000
6,340,2.500000
6,368,2.500000
6,397,2.500000
6,429,2.500000
6,463,2.500000
6,500,2.500000
6,540,2.500000
6,583,2.500000
6,630,2.500000
6,680,2.500000
6,735,2.500000
6,793,2.500000
6,857,2.500000
6,925,2.500000
6,999,2.500000
6,1079,2.500000
6,1165,2.500000
6,1258,2.500000
6,1358,2.500000
6,1467,2.500000
6,1584,2.500000
6,1710,2.500000
6,1847,2.500000
6,1994,2.500000
6,2153,2.500000
6,2325,2.500000
6,2511,2.500000
6,2711,2.500000
6,2928,2.500000
6,3161,2.500000
6,3414,2.500000
6,3686,2.500000
6,3980,2.500000
6,4298,2.500000
6,4641,2.500000
6,5011,2.500000
6,5411,2.500000
6,5842,2.500000
6,6309,2.500000
6,6812,2.500000
6,7355,2.500000
6,7942,2.500000
6,8576,2.500000
6,9260,2.500000
6,9999,2.500000
7,0,-0.114373
7,1,-0.102486
7,2,-0.088789
7,3,-0.073498
7,4,-0.056812
7,5,-0.038902
7,6,-0.019921
7,7,0.000000
7,8,0.020746
7,9,0.042214
7,10,0.064317
7,11,0.086973
7,12,0.110113
7,13,0.133674
7,14,0.157598
7,15,0.181835
7,16,0.206339
7,17,0.231069
7,19,0.281057
7,21,0.331537
7,22,0.356892
7,24,0.407713
7,26,0.458547
7,28,0.509255
7,31,0.584828
7,33,0.634747
7,36,0.708741
7,39,0.781494
7,42,0.852851
7,45,0.922695
7,49,1.013327
7,53,1.100994
7,57,1.185627
7,62,1.287125
7,67,1.383887
7,73,1.493892
7,78,1.580636
7,85,1.694901
7,92,1.801267
7,99,1.900278
7,107,2.005131
7,116,2.113454
7,125,2.212600
7,135,2.313199
7,146,2.413636
7,157,2.500000
7,170,2.500000
7,184,2.500000
7,199,2.500000
7,214,2.500000
7,232,2.500000
7,250,2.500000
7,270,2.500000
7,292,2.500000
7,315,2.500000
7,340,2.500000
7,368,2.500000
7,397,2.500000
7,429,2.500000
7,463,2.500000
7,500,2.500000
7,540,2.500000
7,583,2.500000
7,630,2.500000
7,680,2.500000
7,735,2.500000
7,793,2.500000
7,857,2.500000
7,925,2.500000
7,999,2.500000
7,1079,2.500000
7,1165,2.500000
7,1258,2.500000
7,1358,2.500000
7,1467,2.500000
7,1584,2.500000
7,1710,2.500000
7,1847,2.500000
7,1994,2.500000
7,2153,2.500000
7,2325,2.500000
7,2511,2.500000
7,2711,2.500000
7,2928,2.500000
7,3161,2.500000
7,3414,2.500000
7,3686,2.500000
7,3980,2.500000
7,4298,2.500000
7,4641,2.500000
7,5011,2.500000
7,5411,2.500000
7,5842,2.500000
7,6309,2.500000
7,6812,2.500000
7,7355,2.500000
7,7942,2.500000
7,8576,2.500000
7,9260,2.500000
7,9999,2.500000
8,0,-0.141278
8,1,-0.127367
8,2,-0.112213
8,3,-0.095879
8,4,-0.078462
8,5,-0.060068
8,6,-0.040797
8,7,-0.020746
8,8,0.000000
8,9,0.021360
8,10,0.043263
8,11,0.065643
8,12,0.088441
8,13,0.111605
8,14,0.135084
8,15,0.158837
8,16,0.182821
8,17,0.207002
8,19,0.255819
8,21,0.305055
8,22,0.329768
8,24,0.379275
8,26,0.428769
8,28,0.478120
8,31,0.551651
8,33,0.600214
8,36,0.672194
8,39,0.742971
8,42,0.812400
8,45,0.880372
8,49,0.968601
8,53,1.053979
8,57,1.136440
8,62,1.235388
8,67,1.329781
8,73,1.437173
8,78,1.521922
8,85,1.633656
8,92,1.737770
8,99,1.834785
8,107,1.937637
8,116,2.044023
8,125,2.141523
8,135,2.240583
8,146,2.339623
8,157,2.429604
8,170,2.500000
8,184,2.500000
8,199,2.500000
8,214,2.500000
8,232,2.500000
8,250,2.500000
8,270,2.500000
8,292,2.500000
8,315,2.500000
8,340,2.500000
8,368,2.500000
8,397,2.500000
8,429,2.500000
8,463,2.500000
8,500,2.500000
8,540,2.500000
8,583,2.500000
8,630,2.500000
8,680,2.500000
8,735,2.500000
8,793,2.500000
8,857,2.500000
8,925,2.500000
8,999,2.500000
8,1079,2.500000
8,1165,2.500000
8,1258,2.500000
8,1358,2.500000
8,1467,2.500000
8,1584,2.500000
8,1710,2.500000
8,1847,2.500000
8,1994,2.500000
8,2153,2.500000
8,2325,2.500000
8,2511,2.500000
8,2711,2.500000
8,2928,2.500000
8,3161,2.500000
8,3414,2.500000
8,3686,2.500000
8,3980,2.500000
8,4298,2.500000
8,4641,2.500000
8,5011,2.500000
8,5411,2.500000
8,5842,2.500000
8,6309,2.500000
8,6812,2.500000
8,7355,2.500000
8,7942,2.500000
8,8576,2.500000
8,9260,2.500000
8,9999,2.500000
9,0,-0.169609
9,1,-0.153589
9,2,-0.136884
9,3,-0.119406
9,4,-0.101157
9,5,-0.082172
9,6,-0.062505
9,7,-0.042214
9,8,-0.021360
9,9,0.000000
9,10,0.021811
9,11,0.044023
9,12,0.066586
9,13,0.089459
9,14,0.112599
9,15,0.135970
9,16,0.159538
9,17,0.183271
9,19,0.231117
9,21,0.279303
9,22,0.303469
9,24,0.351847
9,26,0.400179
9,28,0.448349
9,31,0.520088
9,33,0.567453
9,36,0.637650
9,39,0.706669
9,42,0.774377
9,45,0.840672
9,49,0.926743
9,53,1.010059
9,57,1.090559
9,62,1.187199
9,67,1.279444
9,73,1.384461
9,78,1.467395
9,85,1.576820
9,92,1.678879
9,99,1.774068
9,107,1.875087
9,116,1.979698
9,125,2.075686
9,135,2.173330
9,146,2.271085
9,157,2.360017
9,170,2.455322
9,184,2.500000
9,199,2.500000
9,214,2.500000
9,232,2.500000
9,250,2.500000
9,270,2.500000
9,292,2.500000
9,315,2.500000
9,340,2.500000
9,368,2.500000
9,397,2.500000
9,429,2.500000
9,463,2.500000
9,500,2.500000
9,540,2.500000
9,583,2.500000
9,630,2.500000
9,680,2.500000
9,735,2.500000
9,793,2.500000
9,857,2.500000
9,925,2.500000
9,999,2.500000
9,1079,2.500000
9,1165,2.500000
9,1258,2.500000
9,1358,2.500000
9,1467,2.500000
9,1584,2.500000
9,1710,2.500000
9,1847,2.500000
9,1994,2.500000
9,2153,2.500000
9,2325,2.500000
9,2511,2.500000
9,2711,2.500000
9,2928,2.500000
9,3161,2.500000
9,3414,2.500000
9,3686,2.500000
9,3980,2.500000
9,4298,2.500000
9,4641,2.500000
9,5011,2.500000
9,5411,2.500000
9,5842,2.500000
9,6309,2.500000
9,6812,2.500000
9,7355,2.500000
9,7942,2.500000
9,8576,2.500000
9,9260,2.500000
9,9999,2.500000
10,0,-0.199145
10,1,-0.180950
10,2,-0.162619
10,3,-0.143919
10,4,-0.124752
10,5,-0.105089
10,6,-0.084936
10,7,-0.064317
10,8,-0.043263
10,9,-0.021811
10,10,0.000000
10,11,0.022134
10,12,0.044554
10,13,0.067225
10,14,0.090115
10,15,0.113194
10,16,0.136433
10,17,0.159804
10,19,0.206849
10,21,0.254152
10,22,0.277851
10,24,0.325261
10,26,0.372586
10,28,0.419722
10,31,0.489885
10,33,0.536192
10,36,0.604802
10,39,0.672252
10,42,0.738418
10,45,0.803205
10,49,0.887330
10,53,0.968781
10,57,1.047503
10,62,1.142046
10,67,1.232334
10,73,1.335184
10,78,1.416458
10,85,1.523768
10,92,1.623941
10,99,1.717454
10,107,1.816787
10,116,1.919762
10,125,2.014355
10,135,2.110693
10,146,2.207261
10,157,2.295222
10,170,2.389609
10,184,2.481374
10,199,2.500000
10,214,2.500000
10,232,2.500000
10,250,2.500000
10,270,2.500000
10,292,2.500000
10,315,2.500000
10,340,2.500000
10,368,2.500000
10,397,2.500000
10,429,2.500000
10,463,2.500000
10,500,2.500000
10,540,2.500000
10,583,2.500000
10,630,2.500000
10,680,2.500000
10,735,2.500000
10,793,2.500000
10,857,2.500000
10,925,2.500000
10,999,2.500000
10,1079,2.500000
10,1165,2.500000
10,1258,2.500000
10,1358,2.500000
10,1467,2.500000
10,1584,2.500000
10,1710,2.500000
10,1847,2.500000
10,1994,2.500000
10,2153,2.500000
10,2325,2.500000
10,2511,2.500000
10,2711,2.500000
10,2928,2.500000
10,3161,2.500000
10,3414,2.500000
10,3686,2.500000
10,3980,2.500000
10,4298,2.500000
10,4641,2.500000
10,5011,2.500000
10,5411,2.500000
10,5842,2.500000
10,6309,2.500000
10,6812,2.500000
10,7355,2.500000
10,7942,2.500000
10,8576,2.500000
10,9260,2.500000
10,9999,2.500000
11,0,-0.229700
11,1,-0.209282
11,2,-0.189267
11,3,-0.169278
11,4,-0.149124
11,5,-0.128711
11,6,-0.107998
11,7,-0.086973
11,8,-0.065643
11,9,-0.044023
11,10,-0.022134
11,11,0.000000
11,12,0.022353
11,13,0.044901
11,14,0.067618
11,15,0.090480
11,16,0.113465
11,17,0.136550
11,19,0.182941
11,21,0.229503
11,22,0.252807
11,24,0.299384
11,26,0.345836
11,28,0.392070
11,31,0.460843
11,33,0.506211
11,36,0.573409
11,39,0.639454
11,42,0.704232
11,45,0.767660
11,49,0.850024
11,53,0.929783
11,57,1.006887
11,62,1.099517
11,67,1.188016
11,73,1.288881
11,78,1.368631
11,85,1.473998
11,92,1.572435
11,99,1.664401
11,107,1.762177
11,116,1.863639
11,125,1.956942
11,135,2.052069
11,146,2.147535
11,157,2.234595
11,170,2.328128
11,184,2.419178
11,199,2.500000
11,214,2.500000
11,232,2.500000
11,250,2.500000
11,270,2.500000
11,292,2.500000
11,315,2.500000
11,340,2.500000
11,368,2.500000
11,397,2.500000
11,429,2.500000
11,463,2.500000
11,500,2.500000
11,540,2.500000
11,583,2.500000
11,630,2.500000
11,680,2.500000
11,735,2.500000
11,793,2.500000
11,857,2.500000
11,925,2.500000
11,999,2.500000
11,1079,2.500000
11,1165,2.500000
11,1258,2.500000
11,1358,2.500000
11,1467,2.500000
11,1584,2.500000
11,1710,2.500000
11,1847,2.500000
11,1994,2.500000
11,2153,2.500000
11,2325,2.500000
11,2511,2.500000
11,2711,2.500000
11,2928,2.500000
11,3161,2.500000
11,3414,2.500000
11,3686,2.500000
11,3980,2.500000
11,4298,2.500000
11,4641,2.500000
11,5011,2.500000
11,5411,2.500000
11,5842,2.500000
11,6309,2.500000
11,6812,2.500000
11,7355,2.500000
11,7942,2.500000
11,8576,2.500000
11,9260,2.500000
11,9999,2.500000
12,0,-0.261120
12,1,-0.238439
12,2,-0.216694
12,3,-0.195364
12,4,-0.174166
12,5,-0.152943
12,6,-0.131607
12,7,-0.110113
12,8,-0.088441
12,9,-0.066586
12,10,-0.044554
12,11,-0.022353
12,12,0.000000
12,13,0.022490
12,14,0.045100
12,15,0.067811
12,16,0.090607
12,17,0.113471
12,19,0.159335
12,21,0.205282
12,22,0.228251
12,24,0.274117
12,26,0.319812
12,28,0.365257
12,31,0.432805
12,33,0.477339
12,36,0.543276
12,39,0.608059
12,42,0.671588
12,45,0.733786
12,49,0.814552
12,53,0.892771
12,57,0.968398
12,62,1.059279
12,67,1.146137
12,73,1.245178
12,78,1.323525
12,85,1.427100
12,92,1.523932
12,99,1.614467
12,107,1.710801
12,116,1.810861
12,125,1.902964
12,135,1.996965
12,146,2.091406
12,157,2.177627
12,170,2.270363
12,184,2.360746
12,199,2.448382
12,214,2.500000
12,232,2.500000
12,250,2.500000
12,270,2.500000
12,292,2.500000
12,315,2.500000
12,340,2.500000
12,368,2.500000
12,397,2.500000
12,429,2.500000
12,463,2.500000
12,500,2.500000
12,540,2.500000
12,583,2.500000
12,630,2.500000
12,680,2.500000
12,735,2.500000
12,793,2.500000
12,857,2.500000
12,925,2.500000
12,999,2.500000
12,1079,2.500000
12,1165,2.500000
12,1258,2.500000
12,1358,2.500000
12,1467,2.500000
12,1584,2.500000
12,1710,2.500000
12,1847,2.500000
12,1994,2.500000
12,2153,2.500000
12,2325,2.500000
12,2511,2.500000
12,2711,2.500000
12,2928,2.500000
12,3161,2.500000
12,3414,2.500000
12,3686,2.500000
12,3980,2.500000
12,4298,2.500000
12,4641,2.500000
12,5011,2.500000
12,5411,2.500000
12,5842,2.500000
12,6309,2.500000
12,6812,2.500000
12,7355,2.500000
12,7942,2.500000
12,8576,2.500000
12,9260,2.500000
12,9999,2.500000
13,0,-0.293268
13,1,-0.268299
13,2,-0.244787
13,3,-0.222074
13,4,-0.199786
13,5,-0.177702
13,6,-0.155691
13,7,-0.133674
13,8,-0.111605
13,9,-0.089459
13,10,-0.067225
13,11,-0.044901
13,12,-0.022490
13,13,0.000000
13,14,0.022560
13,15,0.045178
13,16,0.067842
13,17,0.090540
13,19,0.135989
13,21,0.181429
13,22,0.204117
13,24,0.249377
13,26,0.294419
13,28,0.339174
13,31,0.405642
13,33,0.449435
13,36,0.514244
13,39,0.577894
13,42,0.640294
13,45,0.701378
13,49,0.780691
13,53,0.857504
13,57,0.931781
13,62,1.021056
13,67,1.106406
13,73,1.203766
13,78,1.280818
13,85,1.382735
13,92,1.478081
13,99,1.567289
13,107,1.662283
13,116,1.761038
13,125,1.852025
13,135,1.944976
13,146,2.038459
13,157,2.123896
13,170,2.215888
13,184,2.305645
13,199,2.392770
13,214,2.472030
13,232,2.500000
13,250,2.500000
13,270,2.500000
13,292,2.500000
13,315,2.500000
13,340,2.500000
13,368,2.500000
13,397,2.500000
13,429,2.500000
13,463,2.500000
13,500,2.500000
13,540,2.500000
13,583,2.500000
13,630,2.500000
13,680,2.500000
13,735,2.500000
13,793,2.500000
13,857,2.500000
13,925,2.500000
13,999,2.500000
13,1079,2.500000
13,1165,2.500000
13,1258,2.500000
13,1358,2.500000
13,1467,2.500000
13,1584,2.500000
13,1710,2.500000
13,1847,2.500000
13,1994,2.500000
13,2153,2.500000
13,2325,2.500000
13,2511,2.500000
13,2711,2.500000
13,2928,2.500000
13,3161,2.500000
13,3414,2.500000
13,3686,2.500000
13,3980,2.500000
13,4298,2.500000
13,4641,2.500000
13,5011,2.500000
13,5411,2.500000
13,5842,2.500000
13,6309,2.500000
13,6812,2.500000
13,7355,2.500000
13,7942,2.500000
13,8576,2.500000
13,9260,2.500000
13,9999,2.500000
14,0,-0.326029
14,1,-0.298754
14,2,-0.273448
14,3,-0.249318
14,4,-0.225901
14,5,-0.202915
14,6,-0.180185
14,7,-0.157598
14,8,-0.135084
14,9,-0.112599
14,10,-0.090115
14,11,-0.067618
14,12,-0.045100
14,13,-0.022560
14,14,0.000000
14,15,0.022574
14,16,0.045156
14,17,0.067739
14,19,0.112871
14,21,0.157900
14,22,0.180354
14,24,0.225101
14,26,0.269580
14,28,0.313735
14,31,0.379249
14,33,0.422385
14,36,0.486185
14,39,0.548814
14,42,0.610194
14,45,0.670266
14,49,0.748256
14,53,0.823783
14,57,0.896821
14,62,0.984621
14,67,1.068581
14,73,1.164388
14,78,1.240241
14,85,1.340622
14,92,1.434588
14,99,1.522561
14,107,1.616308
14,116,1.713845
14,125,1.803789
14,135,1.895760
14,146,1.988347
14,157,2.073049
14,170,2.164343
14,184,2.253514
14,199,2.340159
14,214,2.419057
14,232,2.500000
14,250,2.500000
14,270,2.500000
14,292,2.500000
14,315,2.500000
14,340,2.500000
14,368,2.500000
14,397,2.500000
14,429,2.500000
14,463,2.500000
14,500,2.500000
14,540,2.500000
14,583,2.500000
14,630,2.500000
14,680,2.500000
14,735,2.500000
14,793,2.500000
14,857,2.500000
14,925,2.500000
14,999,2.500000
14,1079,2.500000
14,1165,2.500000
14,1258,2.500000
14,1358,2.500000
14,1467,2.500000
14,1584,2.500000
14,1710,2.500000
14,1847,2.500000
14,1994,2.500000
14,2153,2.500000
14,2325,2.500000
14,2511,2.500000
14,2711,2.500000
14,2928,2.500000
14,3161,2.500000
14,3414,2.500000
14,3686,2.500000
14,3980,2.500000
14,4298,2.500000
14,4641,2.500000
14,5011,2.500000
